watershed,LocationID,O_M_Responsibility,datum,Stage rev ts id ,stage goes raw ts id,stage usgs raw ts id,stage usgs rev ts id,stageMeasTS,Discharge Tsid,usgs discharge raw Tsid,usgs discharge rev Tsid,dischargeMeas ID,Public_Name,Forecasted inflow TSID,Tailwater TSID,Stage Markers Stage Lables Line Color (; delimited and use | to add another set),"Flow Markers, Flow Lables, Line color (; delimited and use | to add another set)",Units,ElevationOrStage,USGS_ID,MVP_Hydrogrpher
Rainy River,LFKM5,USGS-IJC,,,,,,,,,,,Little Fork River at Little Fk MN,,,,,,,5131500,
Rainy River,WRDM5,USGS-IJC,,,,,,,,,,,Lake Of The Woods at Warroad MN,,,,,,,5140520,
Rainy River,BIFM5,USGS-IJC,,,,,,,,,,,Big Fork River at Big Falls MN,,,,,,,5132000,
Rainy River,CLKM5,USGS-IJC,,,,,,,,,,,Vermilion River near Crane Lake MN,,,,,,,5129115,
Souris River,Boundary_Dam,EnvCanada,,,,,,,,,,,Boundary RSVR Diversion Canal,,,,,,,,
Souris River,GrantDevine_Dam,EnvCanada,,,,,,,,,,,Alameda Reservoir near Alameda,,,,,,,,
Souris River,Boundary_Dam-Diversion,EnvCanada,,,,,,,,,,,Boundary RSVR Diversion Canal,,,,,,,,
Souris River,Estevan,EnvCanada,,,,,,,,,,,Long Creek near Estevan,,,,,,,,
Souris River,GrantDevine_Dam-Tailwater,EnvCanada,,,,,,,,,,,Moose Mnt Cr Bl Grant Devine Lk,,,,,,,,
Souris River,Rafferty_Dam,EnvCanada,,,,,,,,,,,Rafferty Reservoir near Estevan,,,,,,,,
Souris River,Rafferty_Dam-Tailwater,EnvCanada,,,,,,,,,,,Souris River b Rafferty RSVR,,,,,,,,
Mississippi River,LockDam_04,MVP-inhouse,,,,,,,,,,,Mississippi R Lock and Dam 04 (Pool),,,,,,,,Jesse Scott
Mississippi River,LockDam_04-Tailwater,MVP-inhouse,,,,,,,,,,,Mississippi R Lock and Dam 04 (TW),,,,,,,,Jesse Scott
Mississippi River,AMAW3,MVP-inhouse,,,,,,,,,,,Mississippi River near Alma WI (Kellogg MN),,,,,,,,Jesse Scott
Mississippi River,DKTM5,MVP-inhouse,,,,,,,,,,,Mississippi River at Dakota MN,,,,,,,,Jesse Scott
Mississippi River,LockDam_01,MVP-inhouse,,,,,,,,,,,Mississippi R Lock and Dam 01 (Pool),,,,,,,,Jesse Scott
Mississippi River,LockDam_01-Tailwater,MVP-inhouse,,,,,,,,,,,Mississippi R Lock and Dam 01 (TW),,,,,,,,Jesse Scott
Mississippi River,LockDam_08,MVP-inhouse,,,,,,,,,,,Mississippi R Lock and Dam 08 (Pool),,,,,,,,Jesse Scott
Mississippi River,LockDam_08-Tailwater,MVP-inhouse,,,,,,,,,,,Mississippi R Lock and Dam 08 (TW),,,,,,,,Jesse Scott
Mississippi River,LockDam_10,MVP-inhouse,,,,,,,,,,,Mississippi R Lock and Dam 10 (Pool),,,,,,,,Jesse Scott
Mississippi River,LockDam_10-Tailwater,MVP-inhouse,,,,,,,,,,,Mississippi R Lock and Dam 10 (TW),,,,,,,,Jesse Scott
Mississippi River,LockDam_02,MVP-inhouse,,,,,,,,,,,Mississippi R Lock and Dam 02 (Pool),,,,,,,,Jesse Scott
Mississippi River,LockDam_02-Tailwater,MVP-inhouse,,,,,,,,,,,Mississippi R Lock and Dam 02 (TW),,,,,,,,Jesse Scott
Mississippi River,LACW3,MVP-inhouse,,,,,,,,,,,Mississippi River at La Crosse WI,,,,,,,,Jesse Scott
Mississippi River,LockDam_07,MVP-inhouse,,,,,,,,,,,Mississippi R Lock and Dam 07 (Pool),,,,,,,,Jesse Scott
Mississippi River,LockDam_07-Tailwater,MVP-inhouse,,,,,,,,,,,Mississippi R Lock and Dam 07 (TW),,,,,,,,Jesse Scott
Mississippi River,LKCM5,MVP-inhouse,,,,,,,,,,,Mississippi River at Lake City MN,,,,,,,,Jesse Scott
Mississippi River,LNSI4,MVP-inhouse,,,,,,,,,,,Mississippi River at Lansing IA,,,,,,,,Jesse Scott
Mississippi River,LowerSAFalls,MVP-inhouse,,,,,,,,,,,Lower St Anthony Falls (Pool),,,,,,,,Jesse Scott
Mississippi River,LowerSAFalls-Tailwater,MVP-inhouse,,,,,,,,,,,Lower St Anthony Falls (TW),,,,,,,,Jesse Scott
Mississippi River,LockDam_09,MVP-inhouse,,,,,,,,,,,Mississippi R Lock and Dam 09 (Pool),,,,,,,,Jesse Scott
Mississippi River,LockDam_09-Tailwater,MVP-inhouse,,,,,,,,,,,Mississippi R Lock and Dam 09 (TW),,,,,,,,Jesse Scott
Mississippi River,LockDam_05,MVP-inhouse,,,,,,,,,,,Mississippi R Lock and Dam 05 (Pool),,,,,,,,Jesse Scott
Mississippi River,LockDam_05-Tailwater,MVP-inhouse,,,,,,,,,,,Mississippi R Lock and Dam 05 (TW),,,,,,,,Jesse Scott
Mississippi River,LockDam_03,MVP-inhouse,,,,,,,,,,,Mississippi R Lock and Dam 03 (Pool),,,,,,,,Jesse Scott
Mississippi River,LockDam_03-Tailwater,MVP-inhouse,,,,,,,,,,,Mississippi R Lock and Dam 03 (TW),,,,,,,,Jesse Scott
Minnesota River,SAVM5,MVP-inhouse,,,,,,,,,,,Minnesota River at Savage MN,,,,,,,,Jesse Scott
Mississippi River,SSPM5,MVP-inhouse,,,,,,,,,,,Mississippi River at South St. Paul MN,,,,,,,,Jesse Scott
St. Croix River,STLM5,MVP-inhouse,,,,,,,,,,,St. Croix River at Stillwater MN,,,,,,,5341550,Jesse Scott
Mississippi River,EauGalle_Dam ,MVP-inhouse,,,,,,,,,,,Eau Galle Dam,,,,,,,,Jesse Scott
