watershed,LocationID,windspeedTS,windDirTS,airTempTS,waterTempTS
Mississippi Navigation,LockDam_02,LockDam_02.Speed-Wind.Inst.15Minutes.0.CEMVP-GOES-Raw,LockDam_02.Dir-Wind.Inst.15Minutes.0.CEMVP-GOES-Raw,LockDam_02.Temp-Air.Inst.15Minutes.0.CEMVP-GOES-Raw,LockDam_02.Temp-Water.Inst.15Minutes.0.CEMVP-GOES-Raw
Mississippi Navigation,LKCM5,LKCM5.Speed-Wind.Inst.15Minutes.0.CEMVP-GOES-Raw,LKCM5.Dir-Wind.Inst.15Minutes.0.CEMVP-GOES-Raw,LKCM5.Temp-Air.Inst.15Minutes.0.CEMVP-GOES-Raw,LKCM5.Temp-Water.Inst.15Minutes.0.CEMVP-GOES-Raw
Mississippi Navigation,LockDam_04,LockDam_04.Speed-Wind.Inst.15Minutes.0.CEMVP-GOES-Raw,LockDam_04.Dir-Wind.Inst.15Minutes.0.CEMVP-GOES-Raw,LockDam_04.Temp-Air.Inst.15Minutes.0.CEMVP-GOES-Raw,LockDam_04.Temp-Water.Inst.15Minutes.0.CEMVP-GOES-Raw
Mississippi Navigation,LockDam_05,LockDam_05.Speed-Wind.Inst.15Minutes.0.CEMVP-GOES-Raw,LockDam_05.Dir-Wind.Inst.15Minutes.0.CEMVP-GOES-Raw,LockDam_05.Temp-Air.Inst.15Minutes.0.CEMVP-GOES-Raw,LockDam_05.Temp-Water.Inst.15Minutes.0.CEMVP-GOES-Raw
Mississippi Navigation,LockDam_06,LockDam_06.Speed-Wind.Inst.15Minutes.0.CEMVP-GOES-Raw,LockDam_06.Dir-Wind.Inst.15Minutes.0.CEMVP-GOES-Raw,LockDam_06.Temp-Air.Inst.15Minutes.0.CEMVP-GOES-Raw,LockDam_06.Temp-Water.Inst.15Minutes.0.CEMVP-GOES-Raw
Mississippi Navigation,LockDam_07,LockDam_07.Speed-Wind.Inst.15Minutes.0.CEMVP-GOES-Raw,LockDam_07.Dir-Wind.Inst.15Minutes.0.CEMVP-GOES-Raw,LockDam_07.Temp-Air.Inst.15Minutes.0.CEMVP-GOES-Raw,LockDam_07.Temp-Water.Inst.15Minutes.0.CEMVP-GOES-Raw
Mississippi Navigation,LockDam_08,LockDam_08.Speed-Wind.Inst.15Minutes.0.CEMVP-GOES-Raw,LockDam_08.Dir-Wind.Inst.15Minutes.0.CEMVP-GOES-Raw,LockDam_08.Temp-Air.Inst.15Minutes.0.CEMVP-GOES-Raw,LockDam_08.Temp-Water.Inst.15Minutes.0.CEMVP-GOES-Raw
Mississippi Navigation,LockDam_09,LockDam_09.Speed-Wind.Inst.15Minutes.0.CEMVP-GOES-Raw,LockDam_09.Dir-Wind.Inst.15Minutes.0.CEMVP-GOES-Raw,LockDam_09.Temp-Air.Inst.15Minutes.0.CEMVP-GOES-Raw,LockDam_09.Temp-Water.Inst.15Minutes.0.CEMVP-GOES-Raw
Mississippi Headwaters,MissHW_Winni,MissHW_Winni.Speed-Wind.Inst.15Minutes.0.CEMVP-GOES-Raw,MissHW_Winni.Dir-Wind.Inst.15Minutes.0.CEMVP-GOES-Raw,MissHW_Winni.Temp-Air.Inst.15Minutes.0.CEMVP-GOES-Raw,MissHW_Winni.Temp-Water.Inst.15Minutes.0.CEMVP-GOES-Raw
Mississippi Headwaters,MissHW_Leech,MissHW_Leech-Lake.Speed-Wind.Inst.15Minutes.0.CEMVP-GOES-Raw,MissHW_Leech-Lake.Dir-Wind.Inst.15Minutes.0.CEMVP-GOES-Raw,MissHW_Leech-Lake.Temp-Air.Inst.15Minutes.0.CEMVP-GOES-Raw,MissHW_Leech-Lake.Temp-Water.Inst.15Minutes.0.CEMVP-GOES-Raw
